ts_code,name,strategy,close,pct_chg,vol_ratio,patterns,position_ratio,reason
603693.SH,江苏新能,☆缩量洗盘,12.55,-0.712,0.65,地量+缩量,0.37,"上升趋势中缩量回调,支撑有效"
600998.SH,九州通,☆缩量洗盘,5.42,-0.7326,0.5,连续缩量+缩量,0.59,"上升趋势中缩量回调,支撑有效"
002322.SZ,理工能科,☆缩量洗盘,13.28,-0.7474,0.75,连续缩量+地量+缩量,0.62,"上升趋势中缩量回调,支撑有效"
603390.SH,通达电气,☆缩量洗盘,13.26,-0.7485,1.04,,0.54,"上升趋势中缩量回调,支撑有效"
600817.SH,宇通重工,☆缩量洗盘,11.76,-0.7595,0.71,连续缩量+地量+缩量,0.48,"上升趋势中缩量回调,支撑有效"
603200.SH,上海洗霸,☆缩量洗盘,84.85,-0.7718,0.65,连续缩量+缩量,0.48,"上升趋势中缩量回调,支撑有效"
002991.SZ,甘源食品,☆缩量洗盘,60.18,-0.7749,0.87,连续缩量+地量+缩量,0.59,"上升趋势中缩量回调,支撑有效"
603065.SH,宿迁联盛,☆缩量洗盘,8.77,-0.7919,0.9,连续缩量+缩量,0.54,"上升趋势中缩量回调,支撑有效"
603999.SH,读者传媒,☆缩量洗盘,7.35,-0.8097,0.87,连续缩量+地量+缩量,0.46,"上升趋势中缩量回调,支撑有效"
002180.SZ,纳思达,☆缩量洗盘,21.67,-0.8238,0.75,地量+缩量,0.42,"上升趋势中缩量回调,支撑有效"
603896.SH,寿仙谷,☆缩量洗盘,20.33,-0.8293,0.83,缩量,0.31,"上升趋势中缩量回调,支撑有效"
002870.SZ,香山股份,☆缩量洗盘,39.34,-0.8319,0.72,连续缩量+地量+缩量,0.62,"上升趋势中缩量回调,支撑有效"
000045.SZ,深纺织Ａ,☆缩量洗盘,13.08,-0.834,0.45,连续缩量+地量+缩量,0.46,"上升趋势中缩量回调,支撑有效"
603738.SH,泰晶科技,☆缩量洗盘,16.39,-0.8469,0.67,连续缩量+地量+缩量,0.55,"上升趋势中缩量回调,支撑有效"
002799.SZ,环球印务,☆缩量洗盘,9.25,-0.8574,0.59,平量+缩量,0.45,"上升趋势中缩量回调,支撑有效"
002224.SZ,三力士,☆缩量洗盘,4.61,-0.8602,0.77,地量+缩量,0.51,"上升趋势中缩量回调,支撑有效"
002876.SZ,三利谱,☆缩量洗盘,26.49,-0.8608,0.44,连续缩量+地量+缩量,0.58,"上升趋势中缩量回调,支撑有效"
605080.SH,浙江自然,☆缩量洗盘,24.45,-0.8918,0.52,连续缩量+地量+缩量,0.29,"上升趋势中缩量回调,支撑有效"
603150.SH,万朗磁塑,☆缩量洗盘,42.04,-0.8958,0.93,平量,0.65,"上升趋势中缩量回调,支撑有效"
002641.SZ,公元股份,☆缩量洗盘,4.42,-0.8969,0.65,连续缩量+地量+缩量,0.23,"上升趋势中缩量回调,支撑有效"
000888.SZ,峨眉山Ａ,☆缩量洗盘,13.23,-0.8989,0.86,连续缩量+缩量,0.33,"上升趋势中缩量回调,支撑有效"
002103.SZ,广博股份,☆缩量洗盘,9.65,-0.924,0.73,连续缩量+地量+缩量,0.34,"上升趋势中缩量回调,支撑有效"
600738.SH,丽尚国潮,☆缩量洗盘,5.34,-0.9276,0.74,连续缩量+地量+缩量,0.51,"上升趋势中缩量回调,支撑有效"
600379.SH,宝光股份,☆缩量洗盘,12.79,-0.9295,0.78,地量+缩量,0.52,"上升趋势中缩量回调,支撑有效"
603202.SH,天有为,☆缩量洗盘,93.52,-0.9322,0.87,平量+缩量,0.06,"上升趋势中缩量回调,支撑有效"
000957.SZ,中通客车,☆缩量洗盘,11.68,-0.933,0.71,地量+缩量,0.45,"上升趋势中缩量回调,支撑有效"
002531.SZ,天顺风能,☆缩量洗盘,7.38,-0.9396,0.83,缩量,0.4,"上升趋势中缩量回调,支撑有效"
